hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
64,2,0.0005,0.3,60,256,98719.89461956204,-0.012801053804379625,228,0.4342105263157895,-0.014093673004711427,0.9082837242002361,23.9
128,3,0.0005,0.4,60,256,97367.24520415961,-0.026327547958403884,246,0.4105691056910569,-0.029066275815150533,0.9057764443520793,28.9
32,2,0.001,0.2,60,128,97286.98653685756,-0.027130134631424444,216,0.4583333333333333,-0.030023605265462217,0.9036268093570266,29.5
32,3,0.0005,0.4,40,128,96723.47973059176,-0.0327652026940824,179,0.3687150837988827,-0.036290541085355565,0.9028579270013763,43.0
128,3,0.001,0.3,40,128,100943.71295029095,0.00943712950290952,155,0.4,-0.010463154261740604,0.9019392495642706,20.4
64,2,0.0001,0.3,60,256,99264.22398302752,-0.0073577601697247886,194,0.4690721649484536,-0.008187595516568447,0.8986472469036361,53.7
32,2,0.0005,0.3,60,128,97331.30363828765,-0.026686963617123548,186,0.44623655913978494,-0.029697350121754118,0.898631140748636,39.8
32,3,0.0001,0.4,40,128,98553.94588241618,-0.014460541175838152,185,0.372972972972973,-0.016113819648857275,0.8973999641893493,71.5
64,2,0.0005,0.2,60,256,98820.89324981727,-0.011791067501827348,222,0.4774774774774775,-0.01314436938559127,0.897043224816293,23.6
32,3,0.001,0.4,40,128,98184.5206685967,-0.018154793314033014,175,0.33714285714285713,-0.02024518161003397,0.8967463796439884,32.6
32,2,0.0005,0.3,40,128,97485.25770529249,-0.0251474229470751,174,0.4367816091954023,-0.028162571139141446,0.8929377514158935,37.8
64,2,0.0001,0.4,60,256,99184.63714245694,-0.00815362857543063,194,0.4639175257731959,-0.009149906245629169,0.8911160788478623,57.0
32,2,0.001,0.4,40,128,97379.96942473408,-0.02620030575265919,203,0.4630541871921182,-0.029435361765523194,0.890096271327192,29.6
64,3,0.001,0.4,20,256,97465.39013478336,-0.0253460986521664,208,0.39903846153846156,-0.028542744276207732,0.8880049657066106,21.2
32,3,0.0005,0.3,60,128,96894.97975939093,-0.031050202406090684,214,0.4672897196261682,-0.03500447184395361,0.8870353063605514,41.7
32,2,0.001,0.4,60,128,97766.66220924928,-0.022333377907507238,218,0.463302752293578,-0.02524111486349956,0.8848015639674809,32.5
128,2,0.0005,0.3,40,256,97926.61583678654,-0.020733841632134573,220,0.4090909090909091,-0.023440666579810365,0.8845244038406654,16.0
32,3,0.001,0.3,60,128,97900.40868474927,-0.020995913152507272,191,0.4293193717277487,-0.023805989845683717,0.8819592585146825,33.7
64,3,0.0005,0.4,20,128,100989.74753414256,0.009897475341425597,185,0.5243243243243243,-0.01122415812113009,0.8818011323978998,33.5
32,2,0.0005,0.4,40,128,97756.05827769476,-0.02243941722305244,170,0.45294117647058824,-0.025462941080070745,0.8812578701136474,37.3
128,3,0.001,0.2,40,256,97596.74341790556,-0.024032565820944436,214,0.411214953271028,-0.027343600678552127,0.8789100639476201,20.3
32,3,0.001,0.2,60,128,97807.01521733834,-0.021929847826616607,196,0.45918367346938777,-0.025007654513729438,0.8769254155593406,33.8
32,2,0.0005,0.4,60,128,97958.08594462193,-0.020419140553780746,192,0.4583333333333333,-0.023332570757931603,0.8751346247108037,43.1
32,2,0.001,0.3,40,128,97896.41324554586,-0.021035867544541398,198,0.4444444444444444,-0.024063732478739164,0.8741730969261335,35.2
128,2,0.0005,0.3,20,128,98002.0741622989,-0.01997925837701099,209,0.39712918660287083,-0.02289399686113469,0.8726854685180893,23.7
32,2,0.0005,0.3,60,256,98584.33362603711,-0.014156663739628856,219,0.410958904109589,-0.016268375862096507,0.8701952708513636,30.2
128,2,0.0005,0.3,20,256,98331.96856411546,-0.016680314358845354,205,0.4097560975609756,-0.01925958761569313,0.8660784795440725,15.9
128,2,0.001,0.2,60,256,98075.27007283412,-0.019247299271658847,216,0.4027777777777778,-0.02228771358458348,0.8635833908495799,16.2
64,3,0.0005,0.4,20,256,97882.12943420032,-0.02117870565799676,205,0.3902439024390244,-0.02487925574162997,0.8512596147544257,26.5
64,2,0.001,0.4,40,256,98836.43671943093,-0.011635632805690693,211,0.44075829383886256,-0.013677518230866825,0.8507122863438709,19.1
64,3,0.001,0.2,20,256,98239.61004563954,-0.01760389954360464,207,0.3961352657004831,-0.02069521051418055,0.8506267443639814,20.2
128,2,0.001,0.4,60,256,98827.03532713745,-0.01172964672862552,213,0.4084507042253521,-0.01381566356591013,0.8490107386204877,15.5
64,3,0.0001,0.2,40,128,99047.44191700345,-0.009525580829965475,173,0.41040462427745666,-0.011257228053490387,0.8461746341731079,68.3
32,2,0.0005,0.4,60,256,98941.85785433781,-0.010581421456621902,213,0.4413145539906103,-0.01254811487211549,0.8432678186694013,32.1
32,3,0.001,0.3,60,256,98640.77260841883,-0.013592273915811675,217,0.43317972350230416,-0.016150929473872644,0.8415784328573718,22.0
