hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
64,2,0.001,0.4,60,128,104022.27182212207,0.04022271822122071,216,0.5277777777777778,-0.015825615207680332,2.5416211435306613,24.6
128,2,0.0005,0.4,60,128,103496.7079991026,0.03496707999102597,269,0.5762081784386617,-0.013884297784494626,2.5184622610209115,31.9
128,2,0.001,0.3,40,128,104042.25348812602,0.040422534881260214,212,0.4811320754716981,-0.017408971178717425,2.321937032710871,24.5
128,2,0.0001,0.2,20,256,102415.72592111994,0.024157259211199416,193,0.5958549222797928,-0.010645266943397624,2.2692957668085683,25.7
128,2,0.0001,0.3,20,256,102391.77056448144,0.023917705644814415,193,0.5906735751295337,-0.010645266943397624,2.2467924733112103,27.7
128,2,0.0001,0.4,20,256,102368.0134076649,0.023680134076648974,194,0.6030927835051546,-0.011685836325670551,2.0263961788195055,26.1
128,3,0.001,0.2,60,128,103628.24681862921,0.0362824681862921,222,0.47297297297297297,-0.01833338221605818,1.9790384424818428,36.4
128,2,0.0001,0.4,20,128,102036.80946224189,0.020368094622418866,240,0.5541666666666667,-0.010785512251527463,1.8884679881138053,35.5
128,2,0.0001,0.2,20,128,102008.4464171091,0.02008446417109095,239,0.5523012552301255,-0.010645266943397624,1.8867036663225882,35.1
128,2,0.0005,0.2,60,128,102691.07249043752,0.02691072490437524,261,0.5555555555555556,-0.015064268304221473,1.7863944242704455,29.3
64,2,0.001,0.3,60,128,103367.49345116953,0.03367493451169532,218,0.5137614678899083,-0.018874838134455896,1.7841177906697883,22.8
128,2,0.0001,0.3,20,128,101881.98577579796,0.018819857757979626,240,0.5458333333333333,-0.010645266943397624,1.7679084853435283,34.8
32,2,0.0001,0.4,20,256,101996.7936427359,0.019967936427358945,171,0.5730994152046783,-0.013429945959186784,1.4868218001800546,48.2
32,2,0.0001,0.3,20,256,102009.75640436726,0.02009756404367261,174,0.5747126436781609,-0.013768135436730833,1.4597157426310634,47.2
128,2,0.0005,0.3,60,128,102155.0408713029,0.021550408713029028,260,0.5038461538461538,-0.015064268304221806,1.430564583544324,28.8
32,2,0.0001,0.2,20,256,101896.39646882721,0.0189639646882721,175,0.5542857142857143,-0.013736667732081043,1.3805360265053994,46.3
128,3,0.001,0.3,60,128,102356.05379379321,0.023560537937932096,211,0.5023696682464455,-0.01849770293670272,1.273700741035462,25.0
64,2,0.0005,0.3,60,128,102661.31969394145,0.026613196939414482,217,0.5345622119815668,-0.021170354294627325,1.2570973810376171,34.7
32,3,0.0001,0.3,20,128,101518.37844578923,0.015183784457892325,236,0.5338983050847458,-0.012554617111495414,1.2094183616312408,79.0
32,3,0.0001,0.2,20,128,101431.53623513978,0.01431536235139778,238,0.5294117647058824,-0.012939530043983849,1.1063278421037877,80.8
32,2,0.0001,0.3,40,256,100896.89089253555,0.0089689089253555,174,0.5517241379310345,-0.008253310891756738,1.0867043593757615,47.9
32,2,0.0001,0.4,40,256,100961.68141068163,0.009616814106816309,173,0.5722543352601156,-0.008937437294092465,1.076014722158991,49.5
64,3,0.0005,0.2,60,128,101620.89993032784,0.016208999303278397,210,0.4523809523809524,-0.015173288928886808,1.0682587920948245,31.8
32,2,0.001,0.4,40,256,96441.15407920799,-0.035588459207920094,208,0.44711538461538464,-0.03573100175941335,0.9960106757584622,17.7
64,3,0.0005,0.2,20,128,97243.14318988126,-0.02756856810118741,209,0.46411483253588515,-0.02768441952448597,0.9958152843625241,33.6
32,2,0.0005,0.3,60,128,94701.98775540861,-0.05298012244591387,211,0.4834123222748815,-0.053205743559844754,0.9957594594336022,38.5
64,3,0.0005,0.3,60,128,96210.89843796677,-0.03789101562033233,208,0.4182692307692308,-0.03812023161243927,0.9939870251986573,32.6
64,3,0.001,0.3,20,128,96571.03051150039,-0.034289694884996134,215,0.4232558139534884,-0.03451976886753738,0.9933350080232545,26.8
32,2,0.001,0.4,60,256,95747.26150463347,-0.042527384953665315,230,0.4826086956521739,-0.042979118639671965,0.9894894613871938,22.2
32,3,0.001,0.3,40,128,94052.91054846921,-0.05947089451530788,224,0.41964285714285715,-0.060157736009631035,0.9885826571961885,35.2
32,2,0.001,0.2,60,128,93801.17043123374,-0.06198829568766261,226,0.4823008849557522,-0.06278495468588252,0.9873113072677101,27.7
32,2,0.0005,0.4,60,128,95896.04738524926,-0.04103952614750742,211,0.5165876777251185,-0.04157838911455969,0.987039830581999,37.4
32,2,0.0001,0.2,40,256,100845.12629460277,0.008451262946027709,174,0.5574712643678161,-0.00863526751403454,0.9786915034528142,48.0
32,3,0.001,0.4,40,128,94941.80663735168,-0.05058193362648322,221,0.4434389140271493,-0.05185478077453076,0.9754536201091661,37.8
128,3,0.0005,0.3,40,256,96444.30250429193,-0.03555697495708068,214,0.42990654205607476,-0.03647540677284178,0.9748205188915142,20.0
128,3,0.0001,0.2,20,128,101082.81022863941,0.010828102286394133,209,0.5645933014354066,-0.011226991582996226,0.9644705089824572,38.2
32,3,0.0005,0.3,40,128,93822.50247068155,-0.06177497529318454,185,0.43243243243243246,-0.06418291899939121,0.9624831069738428,45.0
32,2,0.001,0.3,40,256,98437.2246638099,-0.015627753361900976,223,0.4349775784753363,-0.016286066296461676,0.9595781496539944,17.4
64,3,0.0005,0.2,20,256,101305.98198607842,0.01305981986078419,211,0.5450236966824644,-0.013716259481834636,0.9521414987869096,20.3
32,3,0.001,0.4,60,256,95972.43772722024,-0.0402756227277976,240,0.4041666666666667,-0.042366257570381816,0.9506533037733836,24.4
32,3,0.0001,0.4,20,128,101280.25488026334,0.01280254880263339,230,0.5260869565217391,-0.013470587363813569,0.9504076145206,74.6
128,2,0.001,0.2,60,256,91670.62959105344,-0.08329370408946561,224,0.45535714285714285,-0.08797433236794572,0.9467955237340848,23.5
32,2,0.001,0.4,40,128,97646.47387280056,-0.023535261271994387,201,0.472636815920398,-0.0250957971240634,0.9378168446152811,23.8
32,2,0.001,0.2,40,256,98621.61166154014,-0.013783883384598595,221,0.43891402714932126,-0.014706991326754681,0.9372333931769725,17.5
32,3,0.0005,0.4,60,128,95667.33680297686,-0.04332663197023139,228,0.43859649122807015,-0.046401275186781055,0.9337379586191723,42.1
64,3,0.001,0.4,20,128,98395.63152767817,-0.01604368472321832,214,0.4672897196261682,-0.0172337619917029,0.9309450096236948,26.5
128,2,0.0001,0.3,40,128,101016.19600153265,0.010161960015326476,258,0.5465116279069767,-0.011029374711656659,0.9213541366571366,44.0
128,2,0.001,0.3,40,256,93621.17726098034,-0.06378822739019656,227,0.4581497797356828,-0.0692336954852335,0.921346563160154,18.9
128,3,0.001,0.2,20,128,97116.8611116668,-0.028831388883331966,214,0.4392523364485981,-0.031544977131406804,0.9139771686385806,24.5
64,3,0.001,0.2,20,128,98457.86060968452,-0.015421393903154822,211,0.4549763033175355,-0.016989544519092736,0.9076990784434723,25.4
32,2,0.001,0.3,60,256,95323.2942493017,-0.04676705750698296,232,0.47844827586206895,-0.051564797531615136,0.9069570665590104,20.8
64,2,0.001,0.3,60,256,94803.21230592071,-0.05196787694079292,214,0.411214953271028,-0.05755797687037045,0.9028787974572611,15.9
64,2,0.0005,0.3,60,256,97339.07122001346,-0.026609287799865416,207,0.4057971014492754,-0.029509782399076978,0.9017107425603286,20.1
64,2,0.0005,0.4,60,128,102144.65742710036,0.02144657427100363,215,0.5255813953488372,-0.023876899227677106,0.8982143814613772,36.0
32,2,0.0005,0.4,40,128,96392.90362765492,-0.03607096372345084,195,0.5230769230769231,-0.04016847962449799,0.8979917602221581,31.4
32,3,0.001,0.3,60,128,93035.332238132,-0.06964667761867997,208,0.4375,-0.07767518941025842,0.8966399457467157,39.3
128,2,0.001,0.2,40,256,93735.56979610804,-0.06264430203891956,209,0.4688995215311005,-0.07007350650468513,0.8939798386531598,19.9
128,3,0.001,0.4,60,128,102156.42320262916,0.021564232026291576,210,0.5333333333333333,-0.024216214352622445,0.8904873285430066,25.0
64,2,0.0005,0.4,60,256,97823.93390570261,-0.02176066094297392,219,0.4292237442922374,-0.024607326523304218,0.8843163405974077,20.9
32,2,0.001,0.4,60,128,102562.38855390338,0.0256238855390338,222,0.527027027027027,-0.029008763267196702,0.8833153383001837,28.3
32,3,0.001,0.4,60,128,93665.3883541104,-0.063346116458896,213,0.4131455399061033,-0.07174358236272849,0.8829516783623136,37.7
128,2,0.0005,0.3,40,256,100946.0654140865,0.009460654140864935,210,0.5095238095238095,-0.010765798345664046,0.8787693988969465,19.7
64,2,0.0001,0.4,20,256,101234.58995188211,0.012345899518821098,155,0.4838709677419355,-0.01416058998802694,0.8718492329246028,28.3
64,2,0.001,0.2,40,256,101432.73021566692,0.014327302156669174,204,0.47058823529411764,-0.01654846074830285,0.8657785382328401,16.1
128,3,0.001,0.4,40,128,101904.44822362902,0.019044482236290204,206,0.5097087378640777,-0.022219051012442148,0.8571240160358667,25.9
32,3,0.001,0.2,20,128,97128.3464030428,-0.028716535969571997,189,0.4497354497354497,-0.033676002914560854,0.8527299407363906,29.7
128,2,0.001,0.2,40,128,93082.40149564345,-0.06917598504356545,216,0.4166666666666667,-0.08126223000540711,0.85126860337161,27.0
32,2,0.001,0.2,20,128,101238.59729766086,0.012385972976608609,206,0.5776699029126213,-0.014603740936047327,0.8481369965989699,27.9
128,2,0.0005,0.4,20,256,96194.54349409175,-0.03805456505908252,219,0.4383561643835616,-0.04503003253740401,0.8450929949356056,18.2
128,3,0.0001,0.4,20,256,101079.6897711974,0.010796897711974016,187,0.5294117647058824,-0.012895936572798639,0.8372325384065459,26.0
64,3,0.0001,0.3,20,256,101239.24699017873,0.012392469901787263,171,0.5029239766081871,-0.014880141710375994,0.8328193469519134,39.0
128,2,0.0001,0.2,40,128,100914.68503362045,0.009146850336204515,259,0.5405405405405406,-0.011029374711656548,0.8293172165542204,43.5
128,3,0.001,0.2,20,256,96669.12717753628,-0.03330872822463716,201,0.43781094527363185,-0.04020108993040461,0.8285528646686102,18.0
128,3,0.0005,0.2,40,256,97014.97130079458,-0.02985028699205417,214,0.46261682242990654,-0.03615471239774537,0.8256264539920847,19.5
32,2,0.001,0.3,40,128,98448.3243179976,-0.01551675682002402,197,0.4873096446700508,-0.018812926360688542,0.8247923009175121,23.1
64,3,0.0005,0.3,20,128,101345.56727944688,0.013455672794468847,209,0.507177033492823,-0.01637394193840591,0.8217735744443971,32.6
