hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,conv_layout,conv_out_channels,conv_kernel_size,feature_mode,corr_threshold,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
64,1,0.001,0.2,60,256,double,64,3,auto,0.85,100960.0755239344,0.009600755239343998,25,0.68,-0.0007636043263125059,12.572945056121748,2.9
64,1,0.0001,0.2,60,256,double,16,3,auto,0.92,100200.35651209984,0.0020035651209983915,10,0.7,-0.00017457492974026767,11.476820434522258,2.4
64,1,0.0001,0.5,60,256,double,16,3,auto,0.92,100200.35651209984,0.0020035651209983915,10,0.7,-0.00017457492974026767,11.476820434522258,2.1
64,1,0.0001,0.35,60,256,double,16,3,auto,0.92,100200.35651209984,0.0020035651209983915,10,0.7,-0.00017457492974026767,11.476820434522258,2.2
64,1,0.001,0.5,60,256,double,32,3,auto,0.85,100841.37632304673,0.008413763230467303,23,0.6086956521739131,-0.0007636043263126169,11.01848554354934,3.5
64,1,0.0001,0.2,40,128,single,16,5,auto,0.92,100593.12149526365,0.00593121495263651,23,0.6956521739130435,-0.0005710466580670648,10.386568013046558,22.6
64,1,0.0001,0.2,60,128,single,16,5,auto,0.85,100188.3061238118,0.0018830612381179525,8,0.75,-0.0001885227414019086,9.9885097368889,7.3
64,1,0.0001,0.2,60,256,single,16,5,auto,0.92,100539.82292016495,0.005398229201649519,22,0.7727272727272727,-0.0005503722633178887,9.808323495640193,14.7
64,1,0.0005,0.5,20,64,single,16,5,auto,0.92,100808.20080248213,0.008082008024821261,21,0.7142857142857143,-0.0008295974151226737,9.742084386348003,9.7
64,1,0.001,0.5,60,256,double,16,3,all,0.85,101456.36956563468,0.014563695656346827,25,0.68,-0.0015272086526251227,9.53615318464393,4.2
64,1,0.0005,0.5,40,64,double,16,3,auto,0.92,100509.86207646923,0.005098620764692314,20,0.7,-0.0005503722633177777,9.263949338501526,10.6
64,1,0.0005,0.5,20,256,double,64,5,auto,0.85,100508.26734557975,0.005082673455797485,23,0.6956521739130435,-0.0005503722633177777,9.23497384326364,3.7
64,1,0.0001,0.2,60,256,double,64,3,auto,0.85,100501.99434335924,0.005019943433592416,21,0.6666666666666666,-0.0005503722633177777,9.120996402200536,7.3
64,1,0.0005,0.35,40,64,double,32,5,auto,0.92,101351.83786562373,0.013518378656237328,23,0.5652173913043478,-0.001532093746733132,8.823467026781117,10.4
64,1,0.0005,0.35,20,256,double,64,3,auto,0.92,100458.4755404123,0.004584755404122989,23,0.6521739130434783,-0.0005503722633177777,8.330280629486976,3.8
64,1,0.0001,0.5,60,256,single,16,5,auto,0.92,100633.36026019065,0.006333602601906459,25,0.72,-0.0007636043263126169,8.294351385475919,14.5
64,1,0.0001,0.5,60,256,double,16,3,all,0.85,100170.05376114772,0.0017005376114771933,11,0.6363636363636364,-0.00020797893393753597,8.176489701538378,2.0
64,1,0.0001,0.5,20,128,double,64,5,auto,0.92,100538.26639898776,0.005382663989877619,26,0.6153846153846154,-0.0006597190776505002,8.159024306296015,10.5
64,1,0.001,0.35,60,64,double,64,3,auto,0.85,100848.82534092224,0.00848825340922238,26,0.6538461538461539,-0.0010483762596107393,8.096571561410649,7.5
64,1,0.0001,0.2,20,128,double,16,5,all,0.85,100204.2916873444,0.0020429168734440463,11,0.9090909090909091,-0.00025863157836369943,7.898946007943408,5.4
64,1,0.0001,0.2,40,256,single,16,5,auto,0.92,100429.26541682759,0.004292654168275912,21,0.7619047619047619,-0.0005503722633178887,7.7995466966265425,10.9
64,1,0.0001,0.35,40,256,single,16,5,auto,0.92,100584.40830807973,0.005844083080797282,25,0.68,-0.0007636043263126169,7.65328702237438,12.6
64,1,0.001,0.35,60,256,double,32,3,auto,0.85,101318.42477383312,0.013184247738331179,25,0.48,-0.0017521386174335074,7.524660210756135,3.6
64,1,0.0005,0.5,20,256,single,64,5,auto,0.92,100408.20404662192,0.004082040466219187,23,0.6086956521739131,-0.0005503722633177777,7.416871703547805,3.4
64,1,0.0001,0.2,40,256,double,16,3,auto,0.92,100129.38921380037,0.001293892138003721,7,0.7142857142857143,-0.00017457492974026767,7.411672110816666,2.2
64,1,0.0001,0.35,20,64,double,64,5,auto,0.92,100407.03435629972,0.00407034356299715,20,0.7,-0.0005503722633177777,7.395618991516998,21.2
64,1,0.0001,0.5,40,256,single,16,5,auto,0.92,100420.67924000013,0.004206792400001286,21,0.7142857142857143,-0.0005710466580670648,7.366810295748606,15.4
64,1,0.0001,0.5,40,256,double,16,3,auto,0.92,100148.39058131525,0.0014839058131525234,9,0.6666666666666666,-0.00020187141515182194,7.350747563920918,2.2
64,1,0.0005,0.2,20,64,single,16,5,auto,0.92,100488.98182880419,0.004889818288041861,24,0.6666666666666666,-0.0006685998655167058,7.313519700251395,8.3
64,1,0.0001,0.35,60,256,single,16,5,auto,0.92,100487.42191119943,0.0048742191119943165,23,0.6521739130434783,-0.0006685998655165948,7.290188591689654,10.4
64,1,0.0001,0.5,40,128,single,16,5,auto,0.85,100134.9632856508,0.0013496328565079602,5,0.8,-0.00018852274140201963,7.158992312921574,8.9
64,1,0.0005,0.5,40,128,single,32,5,auto,0.85,100365.71542078965,0.0036571542078965287,8,0.5,-0.000521146144032647,7.0175213800822585,8.3
64,1,0.0001,0.5,60,128,double,16,5,all,0.85,100180.52050897398,0.0018052050897397567,10,0.9,-0.00025863157836369943,6.9798324750630245,5.2
64,1,0.0005,0.5,40,256,double,64,3,auto,0.85,101406.8230298625,0.014068230298624985,26,0.5769230769230769,-0.0020303104587848786,6.929103003805973,4.3
64,1,0.0001,0.35,60,256,double,32,3,auto,0.92,101056.25322600112,0.010562532260011212,25,0.52,-0.0015272086526251227,6.916233902849652,11.5
64,1,0.0001,0.2,60,128,single,16,5,auto,0.92,100374.5408165965,0.0037454081659650546,21,0.7619047619047619,-0.0005503722633178887,6.8052269629033795,20.0
64,1,0.0005,0.5,20,256,double,64,3,auto,0.85,100452.15863131717,0.00452158631317172,23,0.6521739130434783,-0.0006654371368193246,6.794911289117597,3.6
64,1,0.0005,0.35,40,256,double,32,3,auto,0.92,101037.6908971073,0.01037690897107299,25,0.52,-0.0015272086526251227,6.794689745396672,4.4
64,1,0.0005,0.5,20,128,single,16,5,auto,0.92,100694.88317863134,0.006948831786313385,21,0.5238095238095238,-0.0010544022301299805,6.590304523025122,6.7
64,1,0.0005,0.2,20,256,single,16,5,auto,0.92,100830.35063132584,0.008303506313258404,26,0.5769230769230769,-0.0012670908907942424,6.553204962316137,4.4
