hidden_sizes,learning_rate,dropout,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
"[128, 64, 128]",0.0001,0.3,64,100840.80157604255,0.008408015760425477,247,0.5303643724696356,-0.006207029488451754,1.3545957492337812,133.6
"[256, 128, 64, 128, 256]",0.0001,0.3,64,101302.17255572908,0.013021725557290774,230,0.5565217391304348,-0.010566868676178287,1.2323163991473332,160.2
"[128, 64, 128]",0.0001,0.4,256,100850.37913932248,0.00850379139322482,227,0.5418502202643172,-0.0071388817517183956,1.1911937596077813,60.6
"[64, 32, 64]",0.001,0.2,64,101324.77793242988,0.013247779324298754,229,0.5720524017467249,-0.012971173304682004,1.0213246722651457,70.2
"[128, 64, 128]",0.0001,0.4,128,100593.51225048881,0.0059351225048881314,244,0.5204918032786885,-0.005917777689331549,1.0029309677495746,76.7
"[64, 32, 64]",0.0005,0.3,64,100916.15175297698,0.00916151752976977,242,0.5413223140495868,-0.010029218433900033,0.9134826995892996,99.9
"[256, 128, 256]",0.001,0.4,64,96972.61859620814,-0.030273814037918637,253,0.4426877470355731,-0.034658534272695496,0.8734880073035516,56.0
"[64, 32, 64]",0.001,0.4,64,100544.4012564723,0.0054440125647229436,222,0.527027027027027,-0.006819352073240581,0.7983181549000049,93.3
"[256, 128, 64, 128, 256]",0.0001,0.4,256,100479.31792705241,0.004793179270524124,236,0.5084745762711864,-0.006322156814861812,0.7581557071245932,72.1
"[128, 64, 128]",0.0001,0.4,64,100567.59451561556,0.005675945156155649,241,0.5228215767634855,-0.007625683572160424,0.7443195226297075,126.8
"[128, 64, 32, 64, 128]",0.0001,0.4,64,98881.49959138945,-0.011185004086105474,176,0.42045454545454547,-0.01515012531265092,0.7382779914543398,261.0
"[128, 64, 32, 64, 128]",0.001,0.3,64,97249.98040035313,-0.027500195996468683,236,0.5254237288135594,-0.037354893300924785,0.736187245267486,118.4
"[256, 128, 64, 128, 256]",0.0001,0.2,128,101366.23581007589,0.013662358100758866,217,0.5714285714285714,-0.018715375276088353,0.7300071678613114,76.3
"[256, 128, 64, 128, 256]",0.0005,0.3,128,96865.94035780376,-0.0313405964219624,238,0.4831932773109244,-0.04327372158993403,0.7242408387923951,67.0
"[128, 64, 32, 64, 128]",0.001,0.4,64,99236.84366854119,-0.007631563314588129,203,0.42857142857142855,-0.010672996435004412,0.7150347478388317,93.0
"[64, 32, 64]",0.0001,0.2,128,98490.98287914241,-0.015090171208575922,235,0.425531914893617,-0.021407967117667237,0.7048857617182408,58.7
"[128, 64, 128]",0.0005,0.3,64,97833.859111018,-0.021661408889820013,247,0.4979757085020243,-0.030733419485590607,0.7048161009215387,91.2
"[128, 64, 32, 64, 128]",0.001,0.2,64,96468.76398339313,-0.03531236016606868,220,0.41818181818181815,-0.050498590696999024,0.6992741713912263,97.1
"[128, 64, 128]",0.001,0.3,256,98098.27527093898,-0.01901724729061025,248,0.5040322580645161,-0.027205573296844476,0.6990202736442986,27.8
"[64, 32, 64]",0.001,0.3,256,98199.84932701415,-0.01800150672985852,215,0.4744186046511628,-0.025895135118526924,0.6951694458230175,29.8
"[128, 64, 32, 64, 128]",0.0005,0.4,64,98817.03217592866,-0.011829678240713402,199,0.4020100502512563,-0.017050767756467522,0.6937915294885352,137.1
"[256, 128, 256]",0.0005,0.4,64,97410.9006648412,-0.025890993351587968,241,0.48132780082987553,-0.03771771977867322,0.6864411078802156,71.6
"[128, 64, 32, 64, 128]",0.001,0.4,256,99594.91840138737,-0.004050815986126254,165,0.4727272727272727,-0.005961327165585839,0.679515798010755,42.5
"[128, 64, 32, 64, 128]",0.001,0.2,128,97848.4337775354,-0.02151566222464593,214,0.514018691588785,-0.031822208703936816,0.6761209576877726,56.5
"[128, 64, 32, 64, 128]",0.0001,0.4,128,99505.06048213634,-0.004949395178636623,120,0.43333333333333335,-0.0074227789329165406,0.6667846669511305,156.4
"[128, 64, 128]",0.0005,0.3,256,97874.03819137209,-0.02125961808627908,245,0.49795918367346936,-0.03218938109436509,0.6604543909668609,36.7
"[64, 32, 64]",0.0005,0.2,64,100752.36215917276,0.007523621591727569,249,0.5421686746987951,-0.011423367338985968,0.6586167955967551,74.3
"[256, 128, 64, 128, 256]",0.001,0.3,256,97470.50263994596,-0.025294973600540397,223,0.4349775784753363,-0.038727442632841,0.6531537297815315,29.7
"[256, 128, 64, 128, 256]",0.001,0.2,128,95984.49677054537,-0.040155032294546256,239,0.4476987447698745,-0.062236401530464724,0.6452017036185866,42.1
"[256, 128, 256]",0.001,0.4,128,97670.95543400476,-0.023290445659952384,241,0.45228215767634855,-0.036154987679241524,0.6441834766085304,35.8
"[128, 64, 32, 64, 128]",0.0001,0.2,256,100550.14922430868,0.005501492243086832,192,0.5260416666666666,-0.00858160673812236,0.6410795100464541,81.7
"[128, 64, 128]",0.0005,0.4,64,99050.25470306489,-0.009497452969351143,252,0.4801587301587302,-0.015235612090281792,0.623371933669091,91.6
"[256, 128, 64, 128, 256]",0.0001,0.3,256,100494.47363836483,0.004944736383648269,227,0.5154185022026432,-0.008027613382783017,0.6159659350627603,63.6
"[128, 64, 128]",0.0005,0.2,64,98064.62204528414,-0.01935377954715863,249,0.5100401606425703,-0.03151097069896702,0.6141917915525552,77.4
"[128, 64, 128]",0.001,0.3,128,98337.15103822941,-0.016628489617705928,246,0.4959349593495935,-0.027246833908597612,0.610290710234002,37.2
"[64, 32, 64]",0.0005,0.3,256,100497.79593767623,0.004977959376762301,230,0.5260869565217391,-0.008158667034362965,0.6101437104610292,33.9
"[256, 128, 256]",0.0005,0.3,64,97577.491933141,-0.024225080668589943,232,0.49137931034482757,-0.04006592143417409,0.6046305638668588,60.3
"[256, 128, 256]",0.0001,0.3,64,98440.44514657401,-0.01559554853425987,233,0.47639484978540775,-0.02617931279327168,0.5957203176955839,85.4
"[256, 128, 64, 128, 256]",0.0005,0.2,128,97583.88175057208,-0.0241611824942792,207,0.5217391304347826,-0.04098015671654576,0.5895824816239444,49.3
"[128, 64, 128]",0.001,0.4,128,98998.60813622613,-0.01001391863773868,244,0.4713114754098361,-0.017170023060097628,0.5832210360282266,49.0
"[128, 64, 32, 64, 128]",0.0005,0.4,256,99616.4765710917,-0.0038352342890830187,138,0.5,-0.006601482956256621,0.5809655670546172,54.9
"[256, 128, 256]",0.001,0.3,128,97573.70788907152,-0.0242629211092848,242,0.49586776859504134,-0.042466092694455226,0.5713480937334457,33.7
"[256, 128, 256]",0.0005,0.2,256,98042.51033293997,-0.01957489667060028,258,0.5,-0.03525879735253068,0.5551776617586562,21.0
"[256, 128, 256]",0.001,0.3,256,98771.62858433892,-0.012283714156610804,247,0.4979757085020243,-0.022223404886713594,0.552737720400113,21.4
"[128, 64, 128]",0.0005,0.4,128,99238.48754031851,-0.007615124596814858,239,0.4811715481171548,-0.014179636567473453,0.5370465287018095,52.5
"[128, 64, 128]",0.0001,0.2,64,99253.29209776699,-0.007467079022330144,243,0.51440329218107,-0.014138679368351448,0.5281312934392398,127.0
"[128, 64, 32, 64, 128]",0.001,0.3,256,99052.83466631485,-0.00947165333685145,206,0.470873786407767,-0.018129221026030096,0.5224523063209371,42.3
"[256, 128, 64, 128, 256]",0.0001,0.2,256,100858.27092345193,0.00858270923451928,241,0.5062240663900415,-0.01674000201975856,0.5127065829734629,53.3
"[128, 64, 32, 64, 128]",0.001,0.4,128,99313.23803667614,-0.006867619633238647,215,0.4697674418604651,-0.013401198217340204,0.5124631038105557,68.6
"[256, 128, 256]",0.0001,0.2,128,98448.56196341169,-0.015514380365883117,230,0.47391304347826085,-0.030778322083835796,0.5040684259403141,47.7
"[128, 64, 128]",0.001,0.4,64,99058.88586806886,-0.009411141319311428,264,0.4772727272727273,-0.018738945131778317,0.5022236445610594,79.9
"[256, 128, 64, 128, 256]",0.001,0.4,128,98467.39308571214,-0.01532606914287855,224,0.5089285714285714,-0.030530300844293534,0.5019953527822235,60.9
"[256, 128, 64, 128, 256]",0.0005,0.2,256,98775.56460397846,-0.012244353960215375,230,0.43478260869565216,-0.024758634546333425,0.4945488386001754,29.2
"[256, 128, 64, 128, 256]",0.001,0.2,64,97067.8111172405,-0.02932188882759496,270,0.5222222222222223,-0.060109523676035725,0.48780770557469777,84.7
"[256, 128, 64, 128, 256]",0.001,0.3,128,98313.45131428381,-0.016865486857161886,232,0.4353448275862069,-0.03509146474802338,0.48061507202009507,54.1
"[256, 128, 64, 128, 256]",0.0005,0.4,256,99337.14589189837,-0.006628541081016301,233,0.4592274678111588,-0.013803628908464982,0.480202787612712,37.3
"[64, 32, 64]",0.0001,0.3,128,99645.80956056787,-0.0035419043943213185,227,0.4889867841409692,-0.00738319667908105,0.47972504976830194,71.5
"[256, 128, 256]",0.001,0.4,256,98462.12821732319,-0.015378717826768116,243,0.4897119341563786,-0.032159906554964035,0.47819535173351857,23.8
"[256, 128, 256]",0.0005,0.4,256,98912.20146330673,-0.0108779853669327,240,0.4791666666666667,-0.023663493306905425,0.45969482298534137,30.0
"[256, 128, 256]",0.0001,0.2,64,98453.06202521961,-0.015469379747803906,237,0.5063291139240507,-0.03385692837541865,0.45690440598371684,85.9
"[64, 32, 64]",0.0005,0.4,256,99454.31640382392,-0.0054568359617608074,213,0.460093896713615,-0.012093312993200822,0.45122754739158605,36.4
