hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,conv_layout,conv_out_channels,conv_kernel_size,feature_mode,corr_threshold,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
64,3,0.0001,0.2,20,256,double,64,5,all,0.85,100499.49400219836,0.004994940021983639,26,0.7692307692307693,-0.0005503722633178887,9.075566402768773,9.3
64,3,0.001,0.2,60,256,double,64,5,all,0.85,101296.77637906275,0.012967763790627505,25,0.64,-0.0014294951065580985,9.071569207292322,4.0
64,3,0.0005,0.35,60,256,double,64,5,auto,0.85,100480.3936210711,0.0048039362107109625,24,0.75,-0.0005503722633178887,8.728521640517819,4.6
64,3,0.0001,0.5,40,64,single,16,3,auto,0.92,100473.9388650629,0.004739388650628971,21,0.7142857142857143,-0.0005503722633177777,8.611241820325,25.7
64,3,0.001,0.2,40,64,single,16,5,auto,0.92,101490.29543752162,0.014902954375216214,31,0.6129032258064516,-0.001870222757556772,7.968545091754303,15.5
64,3,0.001,0.35,40,64,single,16,5,auto,0.92,100808.73426194087,0.008087342619408737,23,0.6521739130434783,-0.0010163720715147262,7.957068918035062,9.3
64,3,0.0001,0.5,60,256,single,32,3,auto,0.92,100435.57070672161,0.004355707067216135,23,0.782608695652174,-0.0005503722633178887,7.91411078922836,8.3
64,3,0.0001,0.2,60,128,double,64,3,all,0.85,100435.57070672161,0.004355707067216135,23,0.782608695652174,-0.0005503722633178887,7.91411078922836,7.5
64,3,0.0001,0.2,60,128,single,64,5,auto,0.85,100433.04084266057,0.004330408426605718,22,0.7727272727272727,-0.0005503722633178887,7.868144372865178,10.4
64,3,0.0005,0.2,60,64,single,64,5,auto,0.92,100863.72387640199,0.008637238764019858,24,0.7916666666666666,-0.0011005766141561901,7.847921401311995,8.7
64,3,0.0001,0.2,40,256,single,32,3,auto,0.92,100492.00135023466,0.004920013502346556,28,0.6785714285714286,-0.0006597190776503892,7.457740224626129,8.8
64,3,0.0001,0.5,60,64,single,16,5,auto,0.92,100628.8401862289,0.006288401862289029,31,0.6774193548387096,-0.0008442457923939495,7.448543918066315,15.7
64,3,0.0001,0.2,40,64,single,64,5,auto,0.85,100757.42709270035,0.007574270927003527,17,0.6470588235294118,-0.0010465083458995883,7.237659361897027,16.1
64,3,0.0001,0.5,20,64,single,32,5,auto,0.92,100394.93893937106,0.0039493893937105895,22,0.7272727272727273,-0.0005503722633177777,7.175851068334569,30.2
64,3,0.0001,0.35,40,64,single,32,3,auto,0.92,100378.31418517388,0.003783141851738765,22,0.7727272727272727,-0.0005503722633178887,6.873787259794496,20.4
64,3,0.0001,0.2,40,256,none,16,3,manual,0.85,100148.5680671588,0.0014856806715880522,13,0.6923076923076923,-0.00021626879554992318,6.869602560139564,14.6
64,3,0.0005,0.35,60,128,single,64,5,auto,0.85,100389.709859075,0.003897098590749956,20,0.7,-0.0005710466580670648,6.824483666433214,5.6
64,3,0.001,0.2,20,256,none,16,3,auto,0.85,100374.61536784764,0.003746153678476403,28,0.6785714285714286,-0.0005503722633178887,6.806581523372786,6.0
64,3,0.0001,0.2,20,128,single,64,5,auto,0.85,100452.66914231572,0.004526691423157172,29,0.7241379310344828,-0.0006654371368192136,6.8025831031834745,10.3
64,3,0.0001,0.35,60,64,single,32,5,auto,0.92,100366.64588136868,0.0036664588136867677,21,0.7619047619047619,-0.0005503722633178887,6.661779777170681,18.1
64,3,0.0001,0.5,20,256,double,16,5,auto,0.85,100504.04391579551,0.005040439157955116,30,0.7666666666666667,-0.0007636043263125059,6.600852017556945,2.4
64,3,0.0001,0.2,20,128,double,16,5,auto,0.85,100504.04391579551,0.005040439157955116,30,0.7666666666666667,-0.0007636043263125059,6.600852017556945,4.1
