hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,conv_layout,conv_out_channels,conv_kernel_size,feature_mode,corr_threshold,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
64,2,0.0005,0.2,60,256,double,32,5,auto,0.92,101660.71309396246,0.016607130939624622,25,0.64,-0.0007101744997395354,23.38457793924659,4.5
64,2,0.0001,0.35,60,256,single,16,5,auto,0.92,101112.73262498777,0.01112732624987766,24,0.7916666666666666,-0.0005503722633178887,20.217817996127184,12.3
64,2,0.0001,0.35,60,256,double,64,5,auto,0.85,102131.70113284279,0.021317011328427907,25,0.76,-0.0011005766141561901,19.36894810796213,9.2
64,2,0.0005,0.35,40,64,single,16,5,auto,0.92,101207.89097669363,0.012078909766936267,23,0.7391304347826086,-0.0007818857513135491,15.448433158737055,8.6
64,2,0.001,0.2,40,128,double,32,3,auto,0.85,101350.47050910481,0.01350470509104809,22,0.5909090909090909,-0.0008794719274987095,15.355470332585352,5.9
64,2,0.0005,0.2,20,64,double,64,5,auto,0.92,101546.56578339779,0.015465657833977893,27,0.6296296296296297,-0.0010077426456074345,15.346832746822674,9.0
64,2,0.001,0.35,40,256,double,32,5,auto,0.92,101592.75512177368,0.015927551217736764,29,0.5517241379310345,-0.001066850959646981,14.929499827236562,3.7
64,2,0.0005,0.2,60,256,single,16,5,auto,0.92,101221.0501783877,0.01221050178387697,25,0.64,-0.0008295974151226737,14.718587065596614,5.1
64,2,0.0001,0.2,60,64,single,16,5,auto,0.92,100783.2277644364,0.00783227764436393,24,0.7916666666666666,-0.0005503722633178887,14.230872749922895,18.1
64,2,0.0001,0.5,60,256,single,16,5,auto,0.92,100783.2277644364,0.00783227764436393,24,0.7916666666666666,-0.0005503722633178887,14.230872749922895,14.8
64,2,0.0001,0.5,40,256,single,16,5,auto,0.92,100783.2277644364,0.00783227764436393,24,0.7916666666666666,-0.0005503722633178887,14.230872749922895,15.0
64,2,0.0001,0.2,60,128,single,16,5,auto,0.92,100783.2277644364,0.00783227764436393,24,0.7916666666666666,-0.0005503722633178887,14.230872749922895,8.5
64,2,0.0005,0.2,40,64,single,32,5,auto,0.92,101269.93622684725,0.012699362268472469,24,0.7083333333333334,-0.0010163720715147262,12.4947965655395,8.2
64,2,0.001,0.2,60,256,single,64,3,all,0.85,101902.53619388428,0.019025361938842834,25,0.68,-0.0015272086526251227,12.457604863710072,3.5
64,2,0.0005,0.35,60,256,double,64,3,auto,0.92,101883.34531437338,0.018833453143733785,25,0.68,-0.0015272086526251227,12.331945023596425,4.6
64,2,0.0001,0.35,60,64,single,16,5,auto,0.92,100654.52021477811,0.006545202147781092,23,0.782608695652174,-0.0005503722633178887,11.892318316195121,24.9
64,2,0.0001,0.5,60,64,single,16,5,auto,0.92,100654.52021477811,0.006545202147781092,23,0.782608695652174,-0.0005503722633178887,11.892318316195121,30.2
64,2,0.0001,0.35,60,64,single,64,5,auto,0.85,100647.13888562856,0.00647138885628563,24,0.7083333333333334,-0.0005710466580670648,11.33250455959348,12.8
64,2,0.0001,0.5,20,64,single,16,5,auto,0.92,100623.47871812661,0.006234787181266147,22,0.7727272727272727,-0.0005503722633178887,11.32830921325882,26.9
64,2,0.0005,0.2,20,128,double,64,5,auto,0.92,100846.44379292798,0.008464437929279811,23,0.7391304347826086,-0.0007818857513135491,10.825671033216503,5.7
64,2,0.0001,0.35,40,64,single,16,5,auto,0.92,100591.04926812129,0.005910492681212927,21,0.7619047619047619,-0.0005503722633178887,10.739081663712211,20.9
64,2,0.0005,0.35,20,256,single,16,5,auto,0.92,101603.60169136533,0.016036016913653292,27,0.7037037037037037,-0.0015199850297056283,10.550115034198033,5.5
64,2,0.0001,0.2,40,128,double,64,5,auto,0.92,101148.21479198325,0.011482147919832496,23,0.7391304347826086,-0.0011005766141563011,10.432847447548827,9.1
64,2,0.0005,0.5,60,256,double,64,5,auto,0.85,101560.74193547359,0.015607419354735903,25,0.76,-0.0015272086526251227,10.21957237336776,4.3
64,2,0.0001,0.5,20,128,double,64,5,auto,0.92,100555.90570246603,0.005559057024660288,23,0.6521739130434783,-0.0005503722633177777,10.100539934823281,8.9
64,2,0.001,0.2,40,256,single,16,5,auto,0.85,100757.1552960034,0.007571552960034023,24,0.7916666666666666,-0.0007818857513135491,9.68370755869895,3.4
64,2,0.0005,0.5,40,64,single,16,5,auto,0.92,100520.0225120299,0.005200225120299001,23,0.6956521739130435,-0.0005503722633177777,9.44855957847654,10.3
64,2,0.0005,0.2,40,64,single,16,5,auto,0.85,100735.67915076646,0.007356791507664602,30,0.7666666666666667,-0.0007818857513135491,9.40903641651657,8.2
64,2,0.001,0.35,20,256,double,16,5,auto,0.85,100525.14167526684,0.005251416752668447,22,0.6818181818181818,-0.0005710466580670648,9.196125532796149,3.7
64,2,0.0001,0.35,40,128,single,16,5,auto,0.92,100495.5156482754,0.004955156482753955,20,0.75,-0.0005503722633178887,9.003281620483687,14.1
64,2,0.0001,0.2,40,128,single,32,5,auto,0.85,100499.33097543246,0.004993309754324582,29,0.6896551724137931,-0.0005710466580670648,8.744136199354411,8.8
64,2,0.0005,0.5,40,256,single,32,3,auto,0.85,101321.21145505997,0.013212114550599653,25,0.72,-0.0015272086526251227,8.651152236395019,5.0
64,2,0.0005,0.35,60,64,single,64,3,auto,0.85,100654.60395894574,0.00654603958945736,24,0.75,-0.0007636043263125059,8.572554350325127,7.7
64,2,0.0001,0.35,40,64,double,32,5,auto,0.92,100563.6576006911,0.005636576006911055,23,0.6956521739130435,-0.0006685998655163727,8.430417500245557,18.3
64,2,0.0001,0.2,20,64,single,32,5,auto,0.85,100643.26491743592,0.006432649174359249,25,0.72,-0.0007818857513135491,8.22709604766752,17.8
64,2,0.0001,0.35,40,256,double,16,3,auto,0.92,100620.64760631078,0.006206476063107839,24,0.6666666666666666,-0.0007636043263126169,8.127869171562198,12.8
64,2,0.001,0.5,60,256,double,64,3,auto,0.92,101634.38210958036,0.01634382109580358,26,0.7307692307692307,-0.0020303104587848786,8.049912280698784,3.7
64,2,0.001,0.35,40,64,double,32,3,auto,0.85,101216.72819934024,0.01216728199340243,20,0.45,-0.0015199850297057393,8.004869624115935,10.8
64,2,0.0005,0.2,60,64,single,64,3,auto,0.85,100610.92699713628,0.00610926997136281,24,0.75,-0.0007636043263126169,8.00057013933378,7.9
64,2,0.0001,0.35,40,256,single,16,5,auto,0.92,100605.00177722763,0.006050017772276333,25,0.68,-0.0007636043263126169,7.922974718453176,15.2
64,2,0.0005,0.2,60,256,single,64,3,auto,0.85,101109.7874611076,0.011097874611075968,25,0.64,-0.0014294951065583206,7.763492550733819,4.2
64,2,0.0001,0.2,60,256,double,32,5,auto,0.92,100512.65804238517,0.0051265804238517015,23,0.6521739130434783,-0.0006685998655167058,7.667636038020722,10.6
