hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,conv_layout,conv_out_channels,conv_kernel_size,feature_mode,corr_threshold,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
128,2,0.001,0.35,60,64,double,16,3,all,0.85,103011.08449050752,0.03011084490507521,24,0.8333333333333334,-0.0011005766141561901,27.359153845151557,13.0
128,2,0.0005,0.2,40,64,double,32,5,auto,0.92,100295.03901903536,0.0029503901903536463,13,0.7692307692307693,-0.00018694968661570055,15.781733811721,9.9
128,2,0.0001,0.5,40,64,single,64,5,auto,0.92,100783.2277644364,0.00783227764436393,24,0.7916666666666666,-0.0005503722633178887,14.230872749922895,13.9
128,2,0.0005,0.35,60,256,double,32,5,auto,0.92,100704.48866011399,0.0070448866011398785,23,0.7391304347826086,-0.0005503722633177777,12.80022099709675,6.3
128,2,0.0005,0.5,60,256,double,64,5,auto,0.85,100725.83129897807,0.0072583129897806796,26,0.7692307692307693,-0.0005710466580670648,12.710542802840902,5.5
128,2,0.0005,0.5,20,256,single,32,5,auto,0.85,100687.81264648009,0.00687812646480088,23,0.782608695652174,-0.0005503722633178887,12.497225829180556,4.9
128,2,0.0001,0.5,40,256,double,64,5,auto,0.85,100672.41512769031,0.00672415127690314,24,0.7083333333333334,-0.0005503722633177777,12.217460299267849,14.4
128,2,0.0005,0.35,20,256,single,32,5,auto,0.85,100668.1246373388,0.006681246373387985,25,0.76,-0.0005503722633178887,12.13950414781163,4.7
128,2,0.0001,0.35,60,256,double,64,5,auto,0.85,100640.84255780856,0.0064084255780855895,23,0.782608695652174,-0.0005503722633178887,11.643801850501607,10.8
128,2,0.0001,0.35,40,256,single,32,5,auto,0.85,100604.15335074569,0.006041533507456916,24,0.75,-0.0005503722633178887,10.97717655870931,10.4
128,2,0.0005,0.2,60,64,double,64,3,auto,0.85,100603.80328853132,0.0060380328853131505,24,0.75,-0.0005503722633178887,10.970816096205873,10.1
128,2,0.001,0.2,20,256,single,32,5,auto,0.85,101542.00247485455,0.015420024748545548,27,0.5925925925925926,-0.0014201790065981879,10.857803612716229,3.6
128,2,0.0001,0.35,60,256,single,16,5,auto,0.92,100597.17156747154,0.005971715674715379,24,0.75,-0.0005503722633178887,10.85032090591779,11.3
128,2,0.001,0.35,40,256,double,32,3,auto,0.92,101632.80441161768,0.016328044116176752,25,0.72,-0.0015272086526251227,10.691429810923633,4.4
128,2,0.0005,0.2,20,256,double,32,5,auto,0.85,101066.44575227168,0.010664457522716839,28,0.6071428571428571,-0.001016480886919413,10.491547514520379,7.6
128,2,0.0005,0.35,40,256,double,32,5,auto,0.92,100686.12087805138,0.006861208780513843,22,0.6818181818181818,-0.0006685998655163727,10.262055280574724,6.1
128,2,0.0005,0.5,20,256,double,64,5,auto,0.85,101555.02864531107,0.015550286453110749,25,0.64,-0.0015272086526251227,10.182162356388776,5.9
128,2,0.0001,0.35,60,128,single,64,5,all,0.85,100555.52411870868,0.005555241187086795,21,0.6666666666666666,-0.0005503722633177777,10.093606741005535,10.4
128,2,0.0005,0.5,60,256,double,64,5,auto,0.92,101022.37345808603,0.010223734580860329,25,0.68,-0.0010163720715148372,10.059047141685534,6.2
128,2,0.0001,0.35,40,256,double,64,5,auto,0.85,100550.76884355338,0.005507688435533783,23,0.6956521739130435,-0.0005503722633177777,10.007205672633463,9.6
128,2,0.0005,0.2,20,256,double,32,5,all,0.85,100973.91947391772,0.009739194739177183,22,0.5909090909090909,-0.0009939603251517548,9.7983737305513,5.8
128,2,0.0001,0.2,60,64,double,64,3,auto,0.92,100665.74709089733,0.006657470908973337,25,0.64,-0.0007101744997395354,9.374415599849108,16.0
128,2,0.001,0.2,20,256,double,64,5,auto,0.92,101426.01540698278,0.01426015406982784,25,0.56,-0.0015272086526251227,9.337397378751113,3.9
128,2,0.0001,0.5,40,128,double,64,5,auto,0.85,100614.04204709466,0.006140420470946556,23,0.7391304347826086,-0.0006598934689483471,9.305169333971987,18.5
128,2,0.0005,0.2,60,64,single,16,3,auto,0.92,100854.42886220185,0.008544288622018503,23,0.6086956521739131,-0.0009208080351645886,9.279120398304588,10.0
128,2,0.0005,0.2,20,128,single,32,5,auto,0.85,100508.81679575187,0.005088167957518744,21,0.7619047619047619,-0.0005503722633178887,9.244957089307164,5.9
128,2,0.0001,0.2,40,64,double,32,5,auto,0.92,100493.065302868,0.0049306530286799535,20,0.7,-0.0005503722633177777,8.958760019912305,22.9
128,2,0.0001,0.2,60,64,double,64,5,auto,0.92,100492.9313841932,0.0049293138419320166,25,0.72,-0.0005503722633178887,8.956326781832939,16.5
128,2,0.0001,0.2,40,256,single,16,5,auto,0.92,100489.12258053319,0.0048912258053319235,23,0.7391304347826086,-0.0005503722633177777,8.887122646490988,9.5
128,2,0.001,0.35,60,64,double,32,5,auto,0.92,100673.80085335909,0.0067380085335909095,18,0.6666666666666666,-0.0007602729505072903,8.86261773366393,12.2
128,2,0.0001,0.2,40,256,double,32,5,auto,0.85,101341.02594156895,0.013410259415689506,23,0.5217391304347826,-0.001532093746733021,8.752897428297086,22.0
128,2,0.0005,0.2,60,256,double,16,3,auto,0.92,101325.07443977155,0.013250744397715461,25,0.72,-0.0015272086526251227,8.6764466498659,7.2
128,2,0.0001,0.35,40,128,double,64,5,auto,0.92,100470.19230752338,0.00470192307523379,21,0.7142857142857143,-0.0005503722633177777,8.543168667129873,11.2
128,2,0.001,0.35,60,256,double,16,3,auto,0.92,101485.87419861593,0.014858741986159293,26,0.5769230769230769,-0.0017436650115243424,8.521557689093918,6.1
128,2,0.0005,0.2,60,256,double,64,5,auto,0.85,100548.83971247282,0.005488397124728217,24,0.6666666666666666,-0.0006598934689483471,8.317095687391657,6.0
128,2,0.0005,0.5,20,128,double,32,5,auto,0.85,100817.581015899,0.008175810158990061,23,0.5217391304347826,-0.0010163720715147262,8.044111392007688,8.0
128,2,0.001,0.2,60,256,double,16,3,auto,0.92,101522.86002590865,0.015228600259086525,25,0.6,-0.001903678308305401,7.9995659942370105,6.1
128,2,0.0005,0.5,20,256,single,16,5,auto,0.85,100564.65936697753,0.00564659366977532,23,0.6521739130434783,-0.0007101744997395354,7.9509946806683045,5.1
128,2,0.0005,0.2,20,256,single,16,5,auto,0.85,100564.65936697753,0.00564659366977532,23,0.6521739130434783,-0.0007101744997395354,7.9509946806683045,5.4
128,2,0.001,0.35,60,256,single,16,5,auto,0.92,101134.12575978538,0.011341257597853836,25,0.64,-0.0014294951065580985,7.933750556978837,5.6
128,2,0.0001,0.5,40,256,single,64,5,auto,0.92,100435.57070672161,0.004355707067216135,23,0.782608695652174,-0.0005503722633178887,7.91411078922836,10.4
128,2,0.0001,0.2,60,256,single,32,5,auto,0.85,100435.57070672161,0.004355707067216135,23,0.782608695652174,-0.0005503722633178887,7.91411078922836,9.0
128,2,0.0001,0.5,60,64,double,64,5,auto,0.85,100606.10670464131,0.0060610670464130816,22,0.6818181818181818,-0.0007665454103583658,7.90699019850564,15.8
128,2,0.0001,0.5,60,256,single,16,5,auto,0.92,100416.06872175245,0.004160687217524537,23,0.7391304347826086,-0.0005503722633178887,7.559769077827551,9.5
128,2,0.0001,0.2,20,128,single,16,5,auto,0.92,100415.54476368133,0.004155447636813333,23,0.6956521739130435,-0.0005503722633178887,7.550249011028366,10.9
128,2,0.0005,0.2,40,256,single,16,5,all,0.85,100946.38758854821,0.00946387588548212,24,0.5833333333333334,-0.0012634041779675531,7.490774568045771,5.7
128,2,0.001,0.2,40,256,single,16,5,auto,0.85,101590.12168792184,0.01590121687921841,28,0.6785714285714286,-0.00215922996589768,7.364299833902882,4.3
128,2,0.0001,0.2,40,64,double,32,5,auto,0.85,101361.9850949535,0.01361985094953503,26,0.5769230769230769,-0.0018501986886338972,7.3612909971259946,30.5
128,2,0.0001,0.5,60,64,single,32,5,auto,0.85,100565.40813579099,0.00565408135790989,23,0.7391304347826086,-0.0007818857513135491,7.231339551093201,16.7
128,2,0.0005,0.5,40,256,double,32,5,auto,0.85,100985.36975663784,0.009853697566378395,25,0.52,-0.001363361309347333,7.227502716132929,7.1
128,2,0.0001,0.5,20,64,single,64,5,auto,0.92,100389.29168313794,0.003892916831379407,20,0.75,-0.0005503722633178887,7.073243131678137,14.1
128,2,0.0001,0.5,60,256,single,64,3,auto,0.92,100620.93225741271,0.006209322574127146,25,0.68,-0.0008794719274990426,7.060285132448307,9.3
128,2,0.0001,0.5,40,64,single,64,3,auto,0.85,100620.93225741271,0.006209322574127146,25,0.68,-0.0008794719274990426,7.060285132448307,16.5
128,2,0.0005,0.35,40,64,double,32,5,auto,0.92,100388.05569993788,0.00388055699937875,16,0.6875,-0.0005503722633176666,7.050785909861433,11.5
128,2,0.0001,0.2,60,256,single,16,5,auto,0.92,100379.18575563437,0.003791857556343748,24,0.7083333333333334,-0.0005503722633178887,6.889623276952121,10.5
128,2,0.0001,0.2,40,64,single,16,5,auto,0.92,100379.18575563437,0.003791857556343748,24,0.7083333333333334,-0.0005503722633178887,6.889623276952121,14.7
128,2,0.0001,0.35,40,128,single,64,3,auto,0.85,100363.27739981894,0.003632773998189368,22,0.6363636363636364,-0.0005503722633177777,6.600576083340618,11.0
128,2,0.0001,0.2,20,256,double,64,5,auto,0.85,100091.27668611878,0.0009127668611878471,6,0.8333333333333334,-0.0001392073355562795,6.556887663573079,7.0
128,2,0.001,0.5,40,256,double,32,3,auto,0.92,101203.41991197207,0.012034199119720724,29,0.5517241379310345,-0.0018501986886341193,6.504273942927062,5.7
128,2,0.0001,0.2,40,256,single,64,5,auto,0.92,100369.7323644102,0.003697323644101998,22,0.7272727272727273,-0.0005710466580670648,6.474643694820078,7.6
128,2,0.0001,0.5,20,128,single,64,5,auto,0.85,100368.27429964535,0.0036827429964534533,24,0.7083333333333334,-0.0005710466580670648,6.449110496363232,10.6
128,2,0.0001,0.5,20,64,single,32,5,auto,0.85,100353.79490438322,0.0035379490438321956,21,0.7142857142857143,-0.0005503722633178887,6.428283690213358,15.2
128,2,0.0001,0.2,40,256,single,32,5,auto,0.85,100456.48544374942,0.004564854437494214,24,0.6666666666666666,-0.0007101744997395354,6.427792661055031,10.0
128,2,0.0001,0.5,40,256,single,32,5,auto,0.85,100364.03738012239,0.0036403738012239046,23,0.6956521739130435,-0.0005710466580670648,6.374914816148652,12.0
128,2,0.0001,0.2,60,64,single,32,5,auto,0.92,100584.4811014739,0.005844811014738952,24,0.625,-0.0009208080351642556,6.347480464477423,15.7
128,2,0.0001,0.2,20,128,double,32,5,all,0.85,100117.37499243436,0.001173749924343574,8,0.75,-0.00018694968661570055,6.278426808793587,5.8
