hidden_sizes,learning_rate,dropout,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
"[128, 64, 32, 64, 128]",0.0001,0.4,128,99872.84516947523,-0.0012715483052477066,48,0.4375,-0.002209480045659573,0.5754966231741299,76.8
"[256, 128, 256]",0.0005,0.2,64,100565.81706389389,0.0056581706389389,229,0.5152838427947598,-0.010001861437758164,0.565711760170828,54.5
"[128, 64, 128]",0.0005,0.2,128,100600.69273756807,0.00600692737568068,231,0.5584415584415584,-0.010718289337091846,0.560437135699727,45.7
"[256, 128, 64, 128, 256]",0.0005,0.3,256,100418.9800091026,0.004189800091025973,211,0.4928909952606635,-0.007501317068955515,0.5585419270391354,33.5
"[128, 64, 32, 64, 128]",0.0001,0.4,64,99828.68012640008,-0.0017131987359991763,69,0.43478260869565216,-0.0031251988763354444,0.5481887085560597,140.7
"[64, 32, 64]",0.0001,0.2,64,100248.8108528472,0.00248810852847193,198,0.5050505050505051,-0.004668902531613006,0.5329107882687673,112.0
"[256, 128, 256]",0.0005,0.2,256,99049.72438990396,-0.009502756100960396,211,0.5165876777251185,-0.018243755930368755,0.5208771777713823,24.2
"[128, 64, 32, 64, 128]",0.0005,0.2,64,99513.99653814267,-0.004860034618573263,219,0.4840182648401826,-0.009418110417915071,0.5160307538260048,116.1
"[256, 128, 256]",0.0005,0.4,256,99527.03718727188,-0.004729628127281176,220,0.4636363636363636,-0.009398894813845149,0.5032110924695256,27.5
"[128, 64, 128]",0.0005,0.3,128,100372.55929144882,0.003725592914488225,229,0.5283842794759825,-0.0076358901555632075,0.487905514430941,42.1
"[128, 64, 128]",0.0005,0.2,64,99568.44792984558,-0.004315520701544156,213,0.5070422535211268,-0.008900847147276236,0.4848438165646689,82.7
"[64, 32, 64]",0.0001,0.2,128,100259.96401568496,0.002599640156849637,202,0.4900990099009901,-0.005492679188082716,0.4732918249603927,64.9
"[256, 128, 64, 128, 256]",0.001,0.4,256,100285.18711517334,0.002851871151733358,226,0.5088495575221239,-0.0060377369221886745,0.47234107555311583,33.4
"[128, 64, 32, 64, 128]",0.0005,0.3,128,99734.9979087285,-0.002650020912714972,183,0.453551912568306,-0.005621512249554539,0.47140712233171167,69.2
"[128, 64, 128]",0.001,0.4,64,99579.86593085472,-0.004201340691452788,232,0.4525862068965517,-0.009009594595536075,0.4663185059996372,70.3
"[128, 64, 128]",0.0005,0.4,128,100305.10425517538,0.0030510425517537806,204,0.5049019607843137,-0.00664045109467537,0.4594631461408174,65.5
"[256, 128, 256]",0.001,0.2,128,99458.81098038166,-0.005411890196183376,207,0.4782608695652174,-0.011979959268860974,0.4517452918433775,28.5
"[256, 128, 64, 128, 256]",0.0005,0.2,256,99477.8461012899,-0.00522153898710094,207,0.45893719806763283,-0.011876729266811714,0.4396445241613773,28.2
"[256, 128, 256]",0.001,0.4,128,100356.54536593327,0.0035654536593327066,222,0.481981981981982,-0.0082064721239683,0.4344685030878537,37.8
"[256, 128, 256]",0.0001,0.3,128,99492.37672858006,-0.005076232714199432,206,0.47572815533980584,-0.011739041040717102,0.43242311672583955,51.2
"[256, 128, 256]",0.0001,0.3,64,99470.77461496757,-0.0052922538503243416,211,0.47393364928909953,-0.012259146352850525,0.43169839873016724,93.4
"[256, 128, 256]",0.001,0.3,256,99237.52522312776,-0.007624747768722445,230,0.4608695652173913,-0.017958412805147428,0.4245780432520718,24.4
"[128, 64, 128]",0.001,0.3,256,99384.91999048396,-0.006150800095160376,214,0.5,-0.014691899781554607,0.41865246745574625,28.8
"[256, 128, 64, 128, 256]",0.001,0.2,128,99332.64621509089,-0.006673537849091081,228,0.4824561403508772,-0.016004666462625772,0.41697450332221425,44.4
"[256, 128, 256]",0.001,0.3,128,99441.62961100532,-0.005583703889946773,225,0.4888888888888889,-0.01340965855644849,0.41639418829658864,31.1
"[128, 64, 32, 64, 128]",0.001,0.3,256,99653.1187356777,-0.0034688126432230637,218,0.46788990825688076,-0.008354450883513609,0.41520534282729477,43.7
"[128, 64, 32, 64, 128]",0.001,0.2,256,99689.23378416005,-0.0031076621583994712,205,0.4682926829268293,-0.007548566927522704,0.4116890249815069,31.7
"[64, 32, 64]",0.0001,0.3,256,99729.0046581625,-0.0027099534183749347,184,0.4782608695652174,-0.0066639270678456874,0.40666012559633363,52.5
"[128, 64, 32, 64, 128]",0.001,0.4,128,99728.30971848022,-0.0027169028151978274,168,0.44047619047619047,-0.006779100505856062,0.40077629957703925,96.8
"[128, 64, 32, 64, 128]",0.0005,0.4,256,100191.68898843882,0.0019168898843882197,134,0.5149253731343284,-0.004789142265069213,0.40025745285737857,62.5
"[64, 32, 64]",0.0001,0.3,64,100216.70931675228,0.0021670931675228347,205,0.5170731707317073,-0.005503972092537057,0.3937325864099563,101.0
"[128, 64, 128]",0.001,0.2,256,99425.13212101482,-0.005748678789851838,212,0.5283018867924528,-0.015240645241212936,0.3771939244610569,27.0
"[256, 128, 256]",0.0001,0.2,128,99687.95201015605,-0.0031204798984395166,205,0.4926829268292683,-0.008321518303198272,0.374989248925908,41.3
"[128, 64, 128]",0.0001,0.4,64,100216.63631096018,0.002166363109601807,200,0.485,-0.005877917766428986,0.3685596151029412,114.2
"[256, 128, 64, 128, 256]",0.001,0.4,64,99736.36588817858,-0.002636341118214186,220,0.4818181818181818,-0.007491296208366527,0.35192055485268803,84.0
"[256, 128, 64, 128, 256]",0.0005,0.2,128,100460.71141690358,0.0046071141690357765,217,0.4838709677419355,-0.013204290811346997,0.3489103833639207,42.2
"[256, 128, 64, 128, 256]",0.001,0.3,128,99492.01652363781,-0.0050798347636219114,227,0.4669603524229075,-0.014816902421919687,0.342840535691654,51.6
"[256, 128, 64, 128, 256]",0.0005,0.4,256,99697.1727353728,-0.0030282726462719438,208,0.47596153846153844,-0.008920748442961757,0.33946396601522527,48.3
"[128, 64, 32, 64, 128]",0.0001,0.3,256,100134.05763484872,0.0013405763484872295,92,0.5108695652173914,-0.003953966430024436,0.3390459611157965,84.6
"[64, 32, 64]",0.0001,0.4,64,99740.9648694256,-0.0025903513057439704,168,0.5,-0.007738096354449442,0.33475304352529883,120.6
