hidden_sizes,learning_rate,dropout,batch_size,val_loss,val_acc,time_s
"[256, 128, 64, 128, 256]",0.001,0.2,128,0.9484488368034363,0.4276315789473684,3.1
"[256, 128, 64, 128, 256]",0.0005,0.3,128,0.9554010629653931,0.4407894736842105,3.2
"[256, 128, 64, 128, 256]",0.001,0.3,128,0.9570391178131104,0.4407894736842105,4.1
"[128, 64, 32, 64, 128]",0.001,0.2,128,0.9575321972370148,0.4144736842105263,4.7
"[128, 64, 32, 64, 128]",0.0005,0.2,128,0.9599547684192657,0.4276315789473684,6.4
"[256, 128, 64, 128, 256]",0.001,0.4,128,0.9613229036331177,0.45394736842105265,3.5
"[256, 128, 64, 128, 256]",0.0005,0.2,128,0.9634360671043396,0.42105263157894735,3.3
"[256, 128, 64, 128, 256]",0.0005,0.4,128,0.9646561741828918,0.4605263157894737,5.9
"[256, 128, 256]",0.001,0.4,128,0.9654204845428467,0.4276315789473684,2.2
"[128, 64, 128]",0.001,0.3,128,0.9699320197105408,0.45394736842105265,2.0
"[256, 128, 256]",0.0005,0.3,128,0.9699598252773285,0.42105263157894735,2.3
"[128, 64, 128]",0.0005,0.3,128,0.970327228307724,0.4342105263157895,2.1
"[256, 128, 256]",0.0005,0.4,128,0.9704017341136932,0.4473684210526316,2.4
"[256, 128, 64, 128, 256]",0.0001,0.3,128,0.9707773625850677,0.4473684210526316,8.6
"[256, 128, 256]",0.0001,0.3,128,0.9713215529918671,0.40789473684210525,4.1
"[128, 64, 128]",0.001,0.2,128,0.9715569317340851,0.40789473684210525,1.7
"[256, 128, 64, 128, 256]",0.0001,0.2,128,0.9718394875526428,0.4342105263157895,4.4
"[256, 128, 256]",0.001,0.3,128,0.9724825024604797,0.42105263157894735,2.4
"[256, 128, 64, 128, 256]",0.001,0.3,64,0.9735747774442037,0.4473684210526316,5.5
"[128, 64, 128]",0.001,0.4,128,0.9756158590316772,0.45394736842105265,2.1
"[128, 64, 128]",0.0005,0.2,128,0.9757751524448395,0.45394736842105265,2.1
"[256, 128, 256]",0.0001,0.4,128,0.9759535789489746,0.3684210526315789,4.4
"[128, 64, 128]",0.0001,0.2,128,0.9760856032371521,0.4473684210526316,4.5
"[128, 64, 32, 64, 128]",0.001,0.3,128,0.9770799279212952,0.4144736842105263,5.4
"[256, 128, 64, 128, 256]",0.0005,0.3,64,0.9787072936693827,0.4276315789473684,7.5
"[256, 128, 256]",0.0005,0.2,128,0.9793076813220978,0.42105263157894735,2.3
"[256, 128, 256]",0.0001,0.2,128,0.9794950187206268,0.42105263157894735,4.0
"[128, 64, 32, 64, 128]",0.0001,0.2,128,0.9798398315906525,0.40131578947368424,8.7
"[128, 64, 128]",0.0005,0.4,128,0.981545627117157,0.4276315789473684,2.2
"[128, 64, 32, 64, 128]",0.001,0.4,128,0.9820694029331207,0.46710526315789475,8.1
"[128, 64, 128]",0.0001,0.3,128,0.9821289479732513,0.4276315789473684,4.4
"[256, 128, 256]",0.001,0.2,128,0.983600914478302,0.39473684210526316,1.8
"[128, 64, 32, 64, 128]",0.001,0.2,64,0.9846378962198893,0.45394736842105265,5.3
"[256, 128, 64, 128, 256]",0.0001,0.4,128,0.9857294261455536,0.40131578947368424,8.6
"[256, 128, 256]",0.001,0.2,64,0.986489991346995,0.4276315789473684,4.5
"[256, 128, 64, 128, 256]",0.0001,0.3,64,0.9885117808977762,0.4473684210526316,12.4
"[128, 64, 32, 64, 128]",0.0005,0.3,128,0.9892973899841309,0.40789473684210525,5.2
"[256, 128, 256]",0.001,0.3,64,0.9898227055867513,0.4473684210526316,5.2
"[128, 64, 128]",0.0001,0.4,128,0.9898359179496765,0.4144736842105263,6.0
"[256, 128, 64, 128, 256]",0.0005,0.2,64,0.9902732769648234,0.4144736842105263,5.6
"[128, 64, 32, 64, 128]",0.001,0.3,64,0.9912281632423401,0.4473684210526316,8.2
"[128, 64, 128]",0.001,0.3,64,0.9915177623430887,0.4342105263157895,4.5
"[256, 128, 64, 128, 256]",0.0005,0.4,64,0.9916358590126038,0.4407894736842105,5.8
