hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,val_loss,val_acc,time_s
32,2,0.001,0.2,40,128,0.9452489018440247,0.3881578947368421,2.6
32,2,0.0005,0.2,20,128,0.9473991990089417,0.4342105263157895,7.5
32,2,0.0005,0.4,20,128,0.94768425822258,0.4144736842105263,4.8
128,1,0.001,0.3,60,128,0.9477459788322449,0.4407894736842105,1.4
32,2,0.0005,0.3,20,128,0.9478169083595276,0.40131578947368424,4.4
64,3,0.0001,0.4,40,128,0.948297768831253,0.506578947368421,9.1
32,2,0.001,0.4,60,128,0.9486919045448303,0.39473684210526316,2.9
32,2,0.001,0.3,40,128,0.9487698078155518,0.39473684210526316,2.7
64,3,0.0005,0.4,40,128,0.950710654258728,0.40131578947368424,3.4
32,3,0.001,0.2,60,256,0.9524863362312317,0.4407894736842105,2.3
32,2,0.0005,0.2,40,128,0.9529128670692444,0.3684210526315789,3.7
32,2,0.0005,0.3,40,128,0.9534900188446045,0.375,4.2
64,3,0.0005,0.2,60,256,0.9546120166778564,0.48026315789473684,2.0
64,3,0.001,0.3,40,128,0.9546763896942139,0.4276315789473684,2.6
64,3,0.0005,0.2,60,128,0.9549573659896851,0.46710526315789475,2.7
64,3,0.0005,0.4,60,256,0.9549891352653503,0.46710526315789475,2.0
128,1,0.001,0.2,60,128,0.955064982175827,0.4342105263157895,1.3
128,3,0.0001,0.2,60,128,0.9551996290683746,0.42105263157894735,4.7
32,3,0.001,0.4,60,128,0.9555461406707764,0.39473684210526316,3.0
64,2,0.0005,0.3,40,256,0.9561057090759277,0.5131578947368421,2.9
128,3,0.0001,0.4,60,128,0.9561122059822083,0.42105263157894735,5.0
32,3,0.001,0.4,60,256,0.9562981724739075,0.3815789473684211,2.4
64,3,0.0005,0.3,60,256,0.9569023251533508,0.4407894736842105,2.0
128,1,0.001,0.4,60,128,0.9569511711597443,0.40131578947368424,1.5
32,2,0.001,0.2,20,128,0.9570706188678741,0.3815789473684211,2.7
128,1,0.0005,0.3,60,128,0.9572393894195557,0.4342105263157895,1.9
128,3,0.0001,0.3,60,128,0.9575080275535583,0.42105263157894735,4.7
32,3,0.001,0.2,60,128,0.9577856361865997,0.47368421052631576,3.0
64,3,0.001,0.3,20,128,0.9579502642154694,0.4276315789473684,1.9
64,3,0.001,0.4,60,256,0.9584550261497498,0.5,1.6
32,3,0.0005,0.4,60,128,0.95885169506073,0.40131578947368424,4.1
128,3,0.0005,0.2,60,128,0.9592151045799255,0.45394736842105265,1.8
32,3,0.0005,0.3,60,128,0.9592172503471375,0.375,4.1
32,2,0.0005,0.4,40,256,0.9593795537948608,0.4276315789473684,3.3
64,3,0.001,0.2,40,128,0.9596042335033417,0.39473684210526316,2.1
128,2,0.001,0.3,60,128,0.9598618745803833,0.4276315789473684,1.5
64,3,0.0005,0.3,40,256,0.9599772095680237,0.4934210526315789,2.7
64,3,0.001,0.4,40,256,0.9601808190345764,0.46710526315789475,1.9
64,3,0.001,0.2,40,256,0.9606296420097351,0.46710526315789475,1.8
32,3,0.0005,0.2,60,128,0.960964560508728,0.3815789473684211,4.1
128,1,0.0005,0.2,60,128,0.9609955251216888,0.40789473684210525,2.2
